"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Anthrax","Confirmed cases","Reported cases","N","2009","PT","Portugal",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","RO","Romania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","SE","Sweden",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","SI","Slovenia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","SK","Slovakia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","UK","United Kingdom",10.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","AT","Austria",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","BE","Belgium",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","BG","Bulgaria",3.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","CY","Cyprus",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","CZ","Czechia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","DE","Germany",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","DK","Denmark",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","EE","Estonia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","EL","Greece",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","ES","Spain",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","EU27_21","EU (without UK)",4.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","EU27_UK_21","EU (with UK until 2019)",32.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","EUEEA30_21","EU/EEA (without UK)",4.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",32.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","FI","Finland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","FR","France",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","HU","Hungary",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","IE","Ireland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","IS","Iceland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","IT","Italy",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","LT","Lithuania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","LU","Luxembourg",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","LV","Latvia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","MT","Malta",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","NL","Netherlands",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","NO","Norway",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","PL","Poland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","PT","Portugal",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","RO","Romania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","SE","Sweden",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","SI","Slovenia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","SK","Slovakia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2010","UK","United Kingdom",28.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","AT","Austria",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","BE","Belgium",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","BG","Bulgaria",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","CY","Cyprus",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","CZ","Czechia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","DE","Germany",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","DK","Denmark",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","EE","Estonia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","EL","Greece",2.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","ES","Spain",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","EU27_21","EU (without UK)",5.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","EU27_UK_21","EU (with UK until 2019)",5.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","EUEEA30_21","EU/EEA (without UK)",5.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",5.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","FI","Finland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","FR","France",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","HU","Hungary",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","IE","Ireland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","IS","Iceland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","IT","Italy",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","LT","Lithuania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","LU","Luxembourg",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","LV","Latvia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","MT","Malta",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","NL","Netherlands",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","NO","Norway",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","PL","Poland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","PT","Portugal",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","RO","Romania",2.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","SE","Sweden",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","SI","Slovenia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","SK","Slovakia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2011","UK","United Kingdom",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","AT","Austria",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","BE","Belgium",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","BG","Bulgaria",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","CY","Cyprus",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","CZ","Czechia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","DE","Germany",4.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","DK","Denmark",2.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","EE","Estonia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","EL","Greece",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","ES","Spain",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","EU27_21","EU (without UK)",8.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","EU27_UK_21","EU (with UK until 2019)",14.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","EUEEA30_21","EU/EEA (without UK)",8.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",14.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","FI","Finland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","FR","France",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","HU","Hungary",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","IE","Ireland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","IS","Iceland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","IT","Italy",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","LT","Lithuania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","LU","Luxembourg",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","LV","Latvia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2012","MT","Malta",0.000000000,""
